"id";"name";"country_3";"country_img_url";"country_not_name_img";"confederation_id"
1;"China";"CHN";"https://res.cloudinary.com/dsytdfyvb/image/upload/v1700528607/images/AFC/ASIA/acwtqit3yq3mopfldhvs.png";"https://res.cloudinary.com/dsytdfyvb/image/upload/v1703438146/images/AFC/ASIA/Country_page/china_sq5gai.png";1
2;"India";"IND";"https://res.cloudinary.com/dsytdfyvb/image/upload/v1700528609/images/AFC/ASIA/f10hqnvoa05yx6ox9dqd.png";"https://res.cloudinary.com/dsytdfyvb/image/upload/v1703438146/images/AFC/ASIA/Country_page/india_b6z3oc.png";1
6;"Japan";"JPN";"https://res.cloudinary.com/dsytdfyvb/image/upload/v1700528610/images/AFC/ASIA/h0im1jf4kv02blygj44t.png";"https://res.cloudinary.com/dsytdfyvb/image/upload/v1703438147/images/AFC/ASIA/Country_page/Japon_sulclz.png";1
