"id";"name";"name_3";"preview_url";"price";"type";"description";"logo_url";"countryId"
1;"Chinese Super League";"CSL";"https://res.cloudinary.com/dsytdfyvb/image/upload/v1700528956/images/Store/DB/CHINA/CSL/l2y75rto7ho2poyixoiv.png";10.0;"1st League";"1st chinese league";"https://res.cloudinary.com/dsytdfyvb/image/upload/v1700528926/images/Logos_competencia/e1ttbox4bbuyxj9igtfr.png";1
2;"Indian Super League";"ISL";"https://res.cloudinary.com/dsytdfyvb/image/upload/v1700528961/images/Store/DB/INDIA/ISL/g1kzuuoke2ev0vzboidv.png";11.0;"1st League";"1st League of India";"https://res.cloudinary.com/dsytdfyvb/image/upload/v1700528930/images/Logos_competencia/vqucvyw6huikfqwyanmx.png";2
